port_id,vsl_id,time_stamp,time_point,lat,lon,cog,heading
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 12:30:00,0.0,35.04862167,129.1231317,176.4,182.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 12:40:00,0.17,35.02914,129.121735,189.5,192.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 12:50:00,0.33,34.97354667,129.11625,197.1,201.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 13:00:00,0.5,34.941135,129.096345,212.0,212.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 13:10:00,0.67,34.90923833,129.0715633,213.3,213.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 13:20:00,0.83,34.89386333,129.0573667,221.1,220.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 13:30:00,1.0,34.87117333,129.02219,236.0,234.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 13:40:00,1.17,34.8308,128.9762333,218.4,217.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 13:50:00,1.33,34.80151333,128.9541717,210.0,209.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 14:00:00,1.5,34.77867166,128.9353408,219.65,218.5
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 14:10:00,1.67,34.75583,128.91651,229.3,228.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 14:20:00,1.83,34.71805167,128.8614733,230.6,229.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 14:30:00,2.0,34.69492333,128.8279167,229.9,227.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 14:40:00,2.17,34.67267333,128.797145,232.9,231.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 14:50:00,2.33,34.65483333,128.76635,239.8,238.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 15:00:00,2.5,34.63529,128.7296,233.0,232.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 15:10:00,2.67,34.60729,128.6838367,233.6,232.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 15:20:00,2.83,34.58088,128.6409092,233.4,232.5
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 15:30:00,3.0,34.55447,128.5979817,233.2,233.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 15:40:00,3.17,34.53183667,128.5614883,220.0,214.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 15:50:00,3.33,34.49386833,128.5259683,220.4,218.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 16:00:00,3.5,34.46773,128.5008817,219.3,219.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 16:10:00,3.67,34.42207,128.45755,218.4,219.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 16:20:00,3.83,34.37331833,128.4001383,222.7,223.0
CNSHA,d4ec2f91-a7ab-3741-90d5-0cff1a3df776,2024-10-24 16:30:00,4.0,34.34026333,128.363225,223.1,223.0
