port_id,vsl_id,time_stamp,lat,lon,cog,heading
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 06:40:00,35.07013333,129.11715,148.1,147.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 06:50:00,35.0627,129.14575,74.8,84.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 07:00:00,35.07003333,129.1816333,75.3,83.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 07:10:00,35.0788,129.22165,75.5,85.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 07:20:00,35.0839,129.2463667,76.4,85.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 07:30:00,35.09448333,129.2998667,76.3,83.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 07:40:00,35.10265,129.3509667,85.5,96.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 07:50:00,35.10506667,129.3838833,79.4,85.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 08:00:00,35.11913333,129.4404333,69.0,80.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 08:10:00,35.13715,129.4865833,57.6,60.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 08:20:00,35.1637,129.51565,37.2,40.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 08:30:00,35.20048333,129.5428667,25.8,26.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 08:40:00,35.23965,129.5666333,25.9,26.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 08:50:00,35.27573333,129.58955,26.9,27.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 09:00:00,35.31345,129.6124333,26.4,26.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 09:10:00,35.35295,129.6325167,21.4,20.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 09:20:00,35.3835,129.6468,21.9,22.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 09:30:00,35.4316,129.6657333,15.8,15.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 09:40:00,35.47626667,129.68075,14.6,14.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 09:50:00,35.52988333,129.6983167,14.4,14.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 10:00:00,35.55393333,129.705325,13.65,13.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 10:10:00,35.57798333,129.7123333,12.9,12.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 10:20:00,35.61650833,129.7212,11.8,10.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 10:30:00,35.65503333,129.7300667,10.7,8.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 10:40:00,35.71923333,129.7405833,7.2,7.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 10:50:00,35.742875,129.7448333,9.6,9.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 11:00:00,35.76651667,129.7490833,12.0,11.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 11:10:00,35.81306667,129.7609083,11.65,10.0
RUVVO,f643855a-6409-3bea-aaf0-64b66def60ad,2024-08-10 11:20:00,35.85961667,129.7727333,11.3,9.0
