vsl_id,vsl_name,vsl_mmsi,vsl_imo,call_sign,ship_type,vsl_length,vsl_width
0573d749-d97c-3d3a-b868-1a8723d1320a,SUNNY SPRUCE,441107000,9121041,DSFP2,CONTAINER,107,17
ba7f84fe-0af9-3851-86b5-6a302f5e6cb0,SUNNY FREESIA,477326200,9856048,VRSS8,CONTAINER,142,23
c85b6aa8-befa-316e-b80b-fb5f70c4b7ff,SKY FLOWER,373126000,9595802,3EUE6,CONTAINER,146,23
ba6f4194-f5d1-37a2-b91d-d12986f6acfa,HEUNG-A ULSAN,440120000,9128996,DSEK9,CONTAINER,113,18
2f09c63c-5cae-3ff4-8a8e-fa044b429aec,WAN HAI 312,565032000,9248693,S6AS6,CONTAINER,213,32
560e2d73-9137-37bd-964d-713ec0e13afb,STARSHIP AQUILA,538007312,9792503,V7IQ5,CONTAINER,172,27
abefb79c-74ee-37f5-87fc-010b968f49fe,SUNNY CAMELLIA,477066600,9698393,VRNZ6,CONTAINER,141,23
bb345ea2-f7b4-3624-a167-291ad13fafcf,JI PENG,370966000,9122382,H3RB,CONTAINER,107,17
7bf219f4-5ecc-3a25-b120-a389091a6442,EASLINE DALIAN,371002000,9167473,HPXQ,CONTAINER,193,28
d28bd4e0-1226-36d6-80e3-43ecd0f75c3f,HE SHENG,373080000,9234379,3EPO4,CONTAINER,147,23
19bbc69d-d309-3bd9-bb7b-02344d7d3c90,STAR CHALLENGER,440401000,9754783,D7CH,CONTAINER,141,25
252cabcf-b823-3b7d-8c6d-ee6383caf09a,SUNNY IVY,477681800,9903463,VRTX9,CONTAINER,142,23
e1446e98-3647-386b-bae9-0e9f96bb3d6f,STAR PIONEER,441433000,9545003,D7XJ,CONTAINER,143,22
03bee488-e41d-3cda-84bf-f34e999be17c,SUNNY MAPLE,441158000,9133484,DSFS5,CONTAINER,107,17
6210c7db-5edc-3c09-836d-5b8d50a7b4ac,SINOKOR NIIGATA,441772000,9209908,DSRA2,CONTAINER,119,15
3841ce4d-4833-33a1-ab1a-25effa6b7b65,TRADEWIND,374629000,9367944,3ERR4,CONTAINER,145,22
008d6dd4-160f-37a6-a92a-d0d429ba0ab6,PACIFIC TIANJIN,563158600,9498690,9V8011,CONTAINER,129,20
8d2dbfb5-3d23-3e10-86cb-0309e36d6115,PANDA ALTAIR,356578000,9168245,3EFO6,CONTAINER,147,25
65cb802a-fb34-3820-98d5-e69a7a82f5af,WECAN,441442000,9641156,D7XP,CONTAINER,146,22
851ef5c2-c4b9-3fe0-ae70-4b68db6c36b2,SINOKOR TIANJIN,441876000,9160891,D7DU,CONTAINER,135,22
fce82719-f62c-33c7-be68-f877295e870e,STAR EXPLORER,538008859,9870977,V7A2844,CONTAINER,142,24
0e7e0218-1a1c-3084-86fa-9073caa48b63,SUNNY OAK,440567000,9102849,DSEX8,CONTAINER,107,17
d9cc4403-37a7-360d-85c0-8125bb23230a,SPAN ASIA 59,548052900,9296470,DUA3898,CONTAINER,115,18
257f9e00-67b9-3a9a-b420-ec1ca4ac4cb0,DONGJIN FIDES,441261000,9247302,D7UV,CONTAINER,130,20
64abb8a0-5cd2-3b1b-ab41-40855aa8a679,HAKATA VOYAGER,441973000,9329588,D7AJ,CONTAINER,129,20
5a6181c6-a338-3fed-b109-c3d08fea8fce,SUNNY PALM,440119000,9128300,DSEK8,CONTAINER,107,17
7f57be65-1b9d-3f3c-a7b0-4773fb88fb58,SHECAN,441388000,9383534,D7WF,CONTAINER,145,23
288470ce-bdef-36ae-b38b-40c32f3d77f4,SUNNY DAHLIA,441485000,9247297,D7UA,CONTAINER,130,20
3a516512-fc70-3e81-86a5-71cac0088c50,POS YOKOHAMA,440349000,9164603,DSOU4,CONTAINER,144,21
7cd6949b-3655-3cb4-b5e4-24982531ace7,FESCO ANASTASIA,273613560,9505522,UBOY2,CONTAINER,130,16
51551433-105d-3531-8200-73a6ecce97fd,EVER ENVOY,235414000,9241308,VSQL9,CONTAINER,299,43
54788b48-745b-3a99-b73c-ffeb0d304cd0,WAN HAI 723,563142800,9398254,9V7326,CONTAINER,304,40
6a3db392-3576-3fa8-b7c6-1d3926cf4f14,KOTA CEMPAKA,563362000,9638965,9VLP3,CONTAINER,300,40
cdda93a3-885e-3edb-820b-ba492b5350de,WAN HAI 722,563132400,9398230,9V7155,CONTAINER,304,40
d27559a2-04d8-3de7-be88-548e0b2b0bd9,WAN HAI 622,563126700,9307035,9V7053,CONTAINER,293,40
d58f49e0-a1c4-35e3-990e-b61047ef08f8,KOTA CARUM,563150100,9494577,9V7838,CONTAINER,300,40
0d1757c2-6137-3003-90ee-17b516454cbb,WAN HAI 275,416078000,9493286,BHLF,CONTAINER,172,27
baf78a2d-ba30-39fa-834d-5e070d7140bd,WAN HAI 287,563132500,9871347,9V6506,CONTAINER,175,29
f3ebeed8-1940-314b-856a-9911eecc0e99,WAN HAI 289,563138600,9871361,9V6508,CONTAINER,175,29
f771d4c6-09fe-306f-9fb2-e293c9df3095,WAN HAI 296,563163500,9871426,9V6517,CONTAINER,175,28
836e74be-2d46-3919-923c-1b272570f43f,HEUNG-A TOKYO,440335000,9129005,D7PE,CONTAINER,112,18
9398ea78-c928-379b-abe7-6e251ea52040,PACIFIC BUSAN,563157400,9414125,9V8001,CONTAINER,135,18
61901f79-4200-3f80-860f-88feffa27855,SUNNY DAISY,440806000,9689653,D7LL,CONTAINER,137,25
881a2faa-0b9a-3d08-a3e5-2e29e9cf3dcd,STAR CLIPPER,538007547,9448437,V7UG4,CONTAINER,142,22
3ec436b2-b50a-372f-a5b3-2d54b6cbf6ab,VICTORY STAR,477940300,9283162,VRVY4,CONTAINER,128,20
80913611-182c-3eac-9644-24eb3f1a2dfb,SUNNY LINDEN,441300000,9115779,DSNC9,CONTAINER,107,17
359c56f2-173d-3c3c-a6f8-e04b679895de,ITX HIGO,352003243,9669639,3E7419,CONTAINER,146,22
5808b892-f82c-3357-90e3-85effb0df39a,SUNNY ACACIA,356481000,9689665,3FUU5,CONTAINER,137,25
5f486aaa-0f1a-3e5f-a57e-fdc88e51c335,STAR EXPRESS,441432000,9545015,D7XH,CONTAINER,143,23
8bb32b1c-e699-3fe5-a503-29e2f45a060d,SUNNY CANNA,352058000,9826550,3FLX7,CONTAINER,137,25
25bf3a35-35c1-3031-9172-c5664cb141f0,XIN XIN HAI 2,412203360,9623594,BTBM3,GENERAL_CARGO,166,28
29f46055-0573-38e3-8985-1688e22b53ed,XIN XIN HAI 1,412208780,9623609,BSAV,GENERAL_CARGO,166,27
3d073417-8e5e-3c7a-bc7b-9742e3c4ad17,HONG YANG 28,352004027,9754733,3E5411,CONTAINER,158,23
44b2cfd2-26bb-3deb-8169-8e16eb98b842,HONOR OCEAN,352002265,9158745,3E3839,CONTAINER,122,22
64c59dbc-937b-39eb-b70a-088883e1e9e4,JIANG YUAN YUAN DA,413281350,9342671,BOQA9,CONTAINER,143,23
94ab6042-0d31-35fc-9d33-f5ec00cc957f,XIN LONG YUN 86,412705880,9162265,BQLA,CONTAINER,183,30
c009bd30-df3b-3198-818d-71f66b4173d7,JOSCO JANE,477833500,9931513,VRUS8,CONTAINER,146,23
e85d99cf-0342-3715-9975-af88e52f569d,HONG YUAN 01,626449000,9102734,TRBO8,CONTAINER,202,30
11795fb7-fe73-37ce-899f-4f4dbfb5a71b,SUNNY LAUREL,351674000,9826562,H8BZ,CONTAINER,137,25
